topic,term,beta,term_eng
3,gehen,0.0022,go
3,linkspartei,0.0022,left party
3,erhalten,0.0022,receive
4,prozent,0.0153,percent
4,jahr,0.0107,year
4,sagen,0.0104,say
4,deutschland,0.0089,Germany
4,euro,0.0087,Euro
4,union,0.0079,union
4,gut,0.0077,Good
4,erst,0.0076,first
4,partei,0.0071,party
4,schon,0.0067,beautiful
4,mehr,0.0065,more
4,land,0.0063,country
4,deutsch,0.0063,German
4,kommen,0.006,come
4,geben,0.0058,give
4,sehen,0.0056,see
4,sollen,0.0056,should
4,mensch,0.0054,human
4,milliarde,0.0054,billion
4,liegen,0.0053,lie
4,bereits,0.0048,already
4,stehen,0.0048,stand
4,csu,0.0048,Christian Social Union
4,online,0.0048,on-line
4,halten,0.0046,hold
4,viele,0.0045,lots
4,dürfen,0.0038,allowed
4,vergangen,0.0037,past
4,dass,0.0036,that
4,drei,0.0035,three
4,nehmen,0.0034,to take
4,zeit,0.0034,Time
4,stoiber,0.0034,stoiber
4,ende,0.0031,The End
4,seehofer,0.003,seehofer
4,koalition,0.003,coalition
4,zwei,0.0029,two
4,recht,0.0029,Law
4,lassen,0.0028,to let
4,bundestagswahl,0.0028,bundestagswahl
4,immer,0.0028,always
4,wer,0.0028,who
4,wegen,0.0027,because of
4,wahl,0.0027,choice
4,merkel,0.0026,merkel
4,allerdings,0.0026,Indeed
4,vier,0.0025,four
4,bleiben,0.0025,stay
4,heute,0.0025,today
4,leben,0.0025,Life
5,spd,0.0231,spd
5,merkel,0.021,merkel
5,sagen,0.0146,say
5,cdu,0.0128,cdu
5,mehr,0.0122,more
5,union,0.0114,union
5,prozent,0.0105,percent
5,kommen,0.0102,come
5,steinmeier,0.009,steinmeier
5,gehen,0.0085,go
5,dass,0.0078,that
5,steinbrück,0.0078,steinbrück
5,neu,0.0075,New
5,deutschland,0.0066,Germany
5,fdp,0.0063,fdp
5,groß,0.0061,big
5,grün,0.0056,green
5,jahr,0.0054,year
5,müssen,0.0054,have to
5,seit,0.0051,since
5,viele,0.0048,lots
5,angela,0.0047,angela
5,mensch,0.0046,human
5,gabriel,0.0044,gabriel
5,wahlkampf,0.0044,electioneering
5,mal,0.0042,times
5,beide,0.0042,both
5,frage,0.0041,question
5,koalition,0.004,coalition
5,immer,0.0039,always
5,schon,0.0038,beautiful
5,erst,0.0035,first
5,land,0.0035,country
5,stellen,0.0035,put
5,liegen,0.0034,lie
5,ende,0.0033,The End
5,thema,0.0033,theme
5,kandidat,0.0032,candidate
5,vergangen,0.0031,past
5,sprechen,0.0031,speak
5,punkt,0.0031,Point
5,kanzlerin,0.0031,Chancellor
5,möglich,0.003,possible
5,ja,0.003,Yes
5,gemeinsam,0.003,together
5,grüne,0.003,green
5,kanzlerkandidat,0.0029,chancellor candidate
5,dürfen,0.0029,allowed
5,bundestagswahl,0.0029,bundestagswahl
5,regierung,0.0028,government
6,dass,0.0187,that
6,deutschland,0.0081,Germany
6,cdu,0.008,cdu
6,berlin,0.0078,Berlin
6,union,0.0076,union
6,sollen,0.0064,should
6,politisch,0.0064,politically
6,mehr,0.0062,more
6,jahr,0.0061,year
6,kommen,0.006,come
6,sagen,0.0055,say
6,merkel,0.0053,merkel
6,schon,0.0052,beautiful
6,bleiben,0.0052,stay
6,seehofer,0.0048,seehofer
6,prozent,0.0047,percent
6,neu,0.0046,New
6,vergangen,0.0046,past
6,seit,0.0043,since
6,stehen,0.0043,stand
6,dabei,0.0041,there
6,csu,0.004,Christian Social Union
6,deutsch,0.0038,German
6,halten,0.0038,hold
6,immer,0.0037,always
6,ministerpräsident,0.0037,prime minister
6,stellen,0.0036,put
6,groß,0.0036,big
6,zwei,0.0036,two
6,land,0.0036,country
6,drei,0.0035,three
6,ende,0.0035,The End
6,viele,0.0034,lots
6,koalition,0.0034,coalition
6,grüne,0.0032,green
6,weit,0.0032,far
6,kanzlerin,0.0031,Chancellor
6,beide,0.0031,both
6,berliner,0.003,Berliner
6,thema,0.0029,theme
6,spd,0.0029,spd
6,fall,0.0029,case
6,fdp,0.0029,fdp
6,angela,0.0028,angela
6,zeitung,0.0027,newspaper
6,jedoch,0.0026,however
6,bundestagswahl,0.0026,bundestagswahl
6,sehen,0.0026,see
6,steinbrück,0.0026,steinbrück
6,allerdings,0.0025,Indeed
7,dass,0.0302,that
7,sagen,0.0244,say
7,jahr,0.013,year
7,spd,0.0093,spd
7,prozent,0.0087,percent
7,berlin,0.0083,Berlin
7,union,0.0077,union
7,müssen,0.0074,have to
7,land,0.0071,country
7,spiegel,0.0063,mirror
7,sollen,0.0058,should
7,seit,0.0053,since
7,bundestag,0.0053,Bundestag
7,erst,0.0051,first
7,neu,0.0048,New
7,lassen,0.0048,to let
7,bleiben,0.0046,stay
7,halten,0.0044,hold
7,gut,0.0042,Good
7,bereits,0.0041,already
7,dafür,0.0039,for this
7,sehen,0.0037,see
7,weit,0.0037,far
7,wegen,0.0036,because of
7,koalition,0.0035,coalition
7,beide,0.0033,both
7,fdp,0.0033,fdp
7,woche,0.0032,week
7,etwa,0.0032,about
7,ministerpräsident,0.0031,prime minister
7,dabei,0.0031,there
7,deutsch,0.0031,German
7,laut,0.003,according to
7,fordern,0.003,demand
7,allerdings,0.003,Indeed
7,bundesregierung,0.0029,federal government
7,groß,0.0029,big
7,amt,0.0029,office
7,seehofer,0.0028,seehofer
7,stoiber,0.0028,stoiber
7,steinmeier,0.0027,steinmeier
7,nehmen,0.0027,to take
7,million,0.0027,million
7,letzt,0.0026,last
7,grün,0.0026,green
7,eigen,0.0025,own
7,cdu,0.0025,cdu
7,wissen,0.0025,knowledge
7,heißen,0.0025,be called
7,mann,0.0025,man
8,dass,0.0281,that
8,partei,0.0145,party
8,jahr,0.014,year
8,spd,0.0135,spd
8,prozent,0.0119,percent
8,müssen,0.0092,have to
8,mehr,0.0069,more
8,seit,0.0064,since
8,erst,0.0061,first
8,geben,0.0061,give
8,sollen,0.0055,should
8,land,0.0055,country
8,lassen,0.0054,to let
8,bereits,0.0046,already
8,viele,0.0045,lots
8,weit,0.0043,far
8,koalition,0.0043,coalition
8,grüne,0.0041,green
8,gut,0.0041,Good
8,bleiben,0.0038,stay
8,drei,0.0036,three
8,stehen,0.0036,stand
8,bundestagswahl,0.0036,bundestagswahl
8,mal,0.0035,times
8,zeit,0.0035,Time
8,union,0.0034,union
8,beide,0.0033,both
8,möglich,0.0033,possible
8,treffen,0.0032,to meet
8,sozialdemokrat,0.0032,Social
8,nehmen,0.0031,to take
8,stark,0.003,strongly
8,allerdings,0.0028,Indeed
8,zwei,0.0028,two
8,rede,0.0027,speech
8,berlin,0.0027,Berlin
8,woche,0.0026,week
8,pds,0.0026,pds
8,gabriel,0.0026,gabriel
8,ergebnis,0.0026,Result
8,amt,0.0025,office
8,ministerpräsident,0.0025,prime minister
8,schon,0.0025,beautiful
8,seehofer,0.0025,seehofer
8,september,0.0025,September
8,schröder,0.0024,Schroeder
8,eigen,0.0024,own
8,vergangen,0.0024,past
8,fdp,0.0024,fdp
8,nennen,0.0024,call
9,sagen,0.0221,say
9,merkel,0.0139,merkel
9,union,0.0111,union
9,dass,0.0094,that
9,partei,0.0085,party
9,müssen,0.0085,have to
9,mehr,0.0083,more
9,geben,0.0082,give
9,land,0.0071,country
9,schröder,0.0069,Schroeder
9,deutsch,0.0069,German
9,neu,0.0068,New
9,gut,0.0067,Good
9,jahr,0.0061,year
9,seit,0.006,since
9,berlin,0.0059,Berlin
9,fdp,0.0056,fdp
9,spd,0.0056,spd
9,stehen,0.0055,stand
9,spiegel,0.0054,mirror
9,sehen,0.0053,see
9,cdu,0.0052,cdu
9,erst,0.005,first
9,immer,0.005,always
9,halten,0.0049,hold
9,koalition,0.0048,coalition
9,online,0.0046,on-line
9,klar,0.0045,clear
9,bleiben,0.0045,stay
9,stoiber,0.0044,stoiber
9,wahlkampf,0.0041,electioneering
9,deutschland,0.0038,Germany
9,finden,0.0038,Find
9,ende,0.0037,The End
9,viele,0.0036,lots
9,tag,0.0035,Day
9,westerwelle,0.0035,westerwelle
9,mensch,0.0032,human
9,fordern,0.0032,demand
9,lassen,0.0032,to let
9,kanzler,0.0031,chancellor
9,beide,0.0031,both
9,kommen,0.0029,come
9,wer,0.0028,who
9,bundestagswahl,0.0028,bundestagswahl
9,letzt,0.0028,last
9,ministerpräsident,0.0028,prime minister
9,sprechen,0.0027,speak
9,seehofer,0.0027,seehofer
9,etwa,0.0027,about
10,dass,0.0335,that
10,geben,0.0119,give
10,prozent,0.0111,percent
10,spd,0.0104,spd
10,berlin,0.0093,Berlin
10,mehr,0.0081,more
10,deutsch,0.0079,German
10,union,0.0077,union
10,groß,0.0074,big
10,merkel,0.0072,merkel
10,partei,0.0068,party
10,neu,0.0059,New
10,deutschland,0.0055,Germany
10,schon,0.0054,beautiful
10,euro,0.0054,Euro
10,gut,0.0053,Good
10,frage,0.0045,question
10,bleiben,0.0043,stay
10,fischer,0.0042,fisherman
10,politisch,0.0042,politically
10,weit,0.0041,far
10,online,0.004,on-line
10,spiegel,0.0039,mirror
10,tag,0.0039,Day
10,dafür,0.0037,for this
10,fordern,0.0037,demand
10,ganz,0.0037,all
10,fdp,0.0036,fdp
10,steinmeier,0.0035,steinmeier
10,koalition,0.0034,coalition
10,mal,0.0034,times
10,eigen,0.0033,own
10,wahl,0.0033,choice
10,ergebnis,0.0032,Result
10,gehen,0.0029,go
10,vergangen,0.0029,past
10,politik,0.0029,politics
10,wenige,0.0029,few
10,zwei,0.0028,two
10,möglich,0.0028,possible
10,bundesregierung,0.0028,federal government
10,steinbrück,0.0027,steinbrück
10,allerdings,0.0027,Indeed
10,etwa,0.0027,about
10,wer,0.0026,who
10,wissen,0.0026,knowledge
10,seit,0.0026,since
10,westerwelle,0.0026,westerwelle
10,mehrheit,0.0025,majority
10,lang,0.0024,long
11,sagen,0.026,say
11,dass,0.0149,that
11,geben,0.0144,give
11,jahr,0.0131,year
11,deutsch,0.0102,German
11,land,0.0096,country
11,müssen,0.0092,have to
11,neu,0.0081,New
11,erst,0.0073,first
11,partei,0.0065,party
11,sehen,0.0062,see
11,deutschland,0.0061,Germany
11,berlin,0.006,Berlin
11,kommen,0.0057,come
11,euro,0.0049,Euro
11,gut,0.0048,Good
11,immer,0.0046,always
11,stellen,0.0046,put
11,milliarde,0.0046,billion
11,sollen,0.0045,should
11,bundestag,0.0042,Bundestag
11,weit,0.0042,far
11,dabei,0.0042,there
11,dürfen,0.0042,allowed
11,fall,0.0042,case
11,politisch,0.0038,politically
11,lassen,0.0037,to let
11,frage,0.0036,question
11,beide,0.0036,both
11,heißen,0.0036,be called
11,dafür,0.0036,for this
11,nehmen,0.0035,to take
11,wenige,0.0034,few
11,prozent,0.0034,percent
11,gehen,0.0033,go
11,wegen,0.0032,because of
11,woche,0.0031,week
11,allerdings,0.0031,Indeed
11,ganz,0.003,all
11,csu,0.0029,Christian Social Union
11,gesetz,0.0029,law
11,million,0.0029,million
11,schröder,0.0028,Schroeder
11,özdemir,0.0027,özdemir
11,welt,0.0025,world
11,politik,0.0025,politics
11,zeitung,0.0025,newspaper
11,bund,0.0025,Federation
11,grüne,0.0024,green
11,sprecher,0.0024,speaker
12,dass,0.0252,that
12,deutschland,0.0088,Germany
12,euro,0.0087,Euro
12,neu,0.0087,New
12,deutsch,0.0078,German
12,berlin,0.0069,Berlin
12,spiegel,0.0062,mirror
12,sagen,0.006,say
12,schon,0.0058,beautiful
12,spd,0.0056,spd
12,jahr,0.0054,year
12,bereits,0.0049,already
12,sehen,0.0043,see
12,müssen,0.0043,have to
12,sprechen,0.0042,speak
12,fall,0.0042,case
12,ende,0.0041,The End
12,frage,0.0039,question
12,weit,0.0039,far
12,tag,0.0039,Day
12,geben,0.0038,give
12,stellen,0.0037,put
12,bundesregierung,0.0036,federal government
12,politisch,0.0035,politically
12,viele,0.0035,lots
12,heißen,0.0034,be called
12,problem,0.0033,problem
12,etwa,0.0033,about
12,beide,0.0033,both
12,wissen,0.0033,knowledge
12,erst,0.0032,first
12,soldat,0.0031,soldier
12,regierung,0.0031,government
12,de,0.0031,de
12,milliarde,0.003,billion
12,ab,0.003,from
12,zwei,0.003,two
12,rund,0.003,round
12,bleiben,0.003,stay
12,möglich,0.0029,possible
12,treffen,0.0029,to meet
12,erklären,0.0029,to explain
12,partei,0.0029,party
12,sollen,0.0029,should
12,darauf,0.0029,thereon
12,wenige,0.0028,few
12,vergangen,0.0028,past
12,land,0.0027,country
12,kommen,0.0027,come
12,csu,0.0027,Christian Social Union
13,geben,0.0119,give
13,gehen,0.0095,go
13,sagen,0.0093,say
13,neu,0.0076,New
13,groß,0.0075,big
13,partei,0.0074,party
13,schon,0.007,beautiful
13,stehen,0.0067,stand
13,deutsch,0.0065,German
13,mehr,0.006,more
13,immer,0.0058,always
13,erst,0.0055,first
13,müssen,0.0055,have to
13,euro,0.0053,Euro
13,bundestag,0.0051,Bundestag
13,spd,0.0049,spd
13,ganz,0.0046,all
13,steinbrück,0.0045,steinbrück
13,tag,0.0044,Day
13,fdp,0.0042,fdp
13,fordern,0.0039,demand
13,bundesregierung,0.0039,federal government
13,zeigen,0.0039,demonstrate
13,ende,0.0038,The End
13,heißen,0.0038,be called
13,bundestagswahl,0.0036,bundestagswahl
13,erklären,0.0035,to explain
13,dürfen,0.0035,allowed
13,stellen,0.0034,put
13,kommen,0.0034,come
13,land,0.0034,country
13,union,0.0033,union
13,sehen,0.0033,see
13,jahr,0.0032,year
13,kanzlerin,0.0032,Chancellor
13,schröder,0.0031,Schroeder
13,dabei,0.0031,there
13,deutschland,0.0031,Germany
13,letzt,0.0031,last
13,wissen,0.003,knowledge
13,tun,0.0029,do
13,rund,0.0029,round
13,wahlkampf,0.0028,electioneering
13,nah,0.0028,close
13,regierung,0.0027,government
13,weit,0.0027,far
13,gelten,0.0027,be valid
13,fall,0.0026,case
13,finden,0.0026,Find
13,nehmen,0.0025,to take
14,fdp,0.1089,fdp
14,grün,0.0991,green
14,link,0.0841,link
14,name,0.0749,Surname
14,pirat,0.0516,pirate
14,spd,0.042,spd
14,cdu,0.0415,cdu
14,wähler,0.0398,voter
14,sicht,0.0267,view
14,text,0.0178,text
14,niedersachse,0.0156,Lower sachse
14,new,0.0151,new
14,prozent,0.0107,percent
14,schwarzgelb,0.0101,black yellow
14,dass,0.0074,that
14,rösler,0.0073,rösler
14,niedersachsen,0.0057,Lower Saxony
14,sonstig,0.0052,other
14,liberale,0.0051,liberal
14,david,0.005,David
14,sagen,0.0049,say
14,bundestagswahl,0.0037,bundestagswahl
14,bündnis,0.0033,alliance
14,union,0.0032,union
14,niederlage,0.003,defeat
14,hannover,0.0029,Hanover
14,groß,0.0028,big
14,wahl,0.0028,choice
14,rotgrün,0.0027,Red Green
14,umfrage,0.0027,survey
14,sieg,0.0026,victory
14,schon,0.0026,beautiful
14,piratenpartei,0.0026,piratenpartei
14,partei,0.0026,party
14,mehrheit,0.0026,majority
14,koalition,0.0025,coalition
14,lager,0.0024,camp
14,liberal,0.0024,liberal
14,berlin,0.0023,Berlin
14,schwarzgrün,0.0023,black green
14,option,0.0023,option
14,gehen,0.0023,go
14,wählen,0.0022,choose
14,gut,0.0021,Good
14,reichen,0.0019,suffice
14,punkt,0.0018,Point
14,erst,0.0018,first
14,knapp,0.0017,just
14,fünfprozenthürde,0.0017,five percent hurdle
14,grüne,0.0016,green
15,sagen,0.0136,say
15,cdu,0.0101,cdu
15,neu,0.0095,New
15,deutschland,0.0088,Germany
15,deutsch,0.0088,German
15,merkel,0.0087,merkel
15,erst,0.0085,first
15,mehr,0.0083,more
15,berlin,0.0082,Berlin
15,csu,0.0068,Christian Social Union
15,gut,0.0064,Good
15,kommen,0.0062,come
15,dass,0.0061,that
15,jahr,0.0059,year
15,lassen,0.0059,to let
15,spiegel,0.0053,mirror
15,bundestag,0.005,Bundestag
15,prozent,0.005,percent
15,weit,0.0047,far
15,meyer,0.0047,meyer
15,sprechen,0.0045,speak
15,groß,0.0043,big
15,finden,0.004,Find
15,kanzlerin,0.0038,Chancellor
15,tag,0.0038,Day
15,land,0.0037,country
15,allerdings,0.0037,Indeed
15,liegen,0.0037,lie
15,ganz,0.0037,all
15,ende,0.0036,The End
15,heute,0.0034,today
15,angela,0.0032,angela
15,entscheidung,0.0032,decision
15,erklären,0.0032,to explain
15,stark,0.0029,strongly
15,viele,0.0029,lots
15,ab,0.0029,from
15,amt,0.0028,office
15,gelten,0.0028,be valid
15,nennen,0.0027,call
15,woche,0.0027,week
15,zeit,0.0026,Time
15,frage,0.0026,question
15,sprecher,0.0025,speaker
15,online,0.0025,on-line
15,rede,0.0025,speech
15,mann,0.0025,man
15,zeitung,0.0025,newspaper
15,sehen,0.0025,see
15,zurück,0.0024,back
16,dass,0.0164,that
16,jahr,0.0141,year
16,sagen,0.0107,say
16,gehen,0.0086,go
16,land,0.007,country
16,müssen,0.0067,have to
16,gut,0.0066,Good
16,union,0.0066,union
16,schröder,0.0063,Schroeder
16,neu,0.0055,New
16,schon,0.0055,beautiful
16,seit,0.0055,since
16,lassen,0.0055,to let
16,erklären,0.0045,to explain
16,koalition,0.0044,coalition
16,spd,0.0041,spd
16,stehen,0.0041,stand
16,fordern,0.004,demand
16,kommen,0.0039,come
16,finden,0.0039,Find
16,zeigen,0.0039,demonstrate
16,erst,0.0037,first
16,zeit,0.0037,Time
16,bereits,0.0034,already
16,regierung,0.0034,government
16,zwei,0.0034,two
16,online,0.0033,on-line
16,berlin,0.0033,Berlin
16,wahl,0.0032,choice
16,bundesregierung,0.0031,federal government
16,sprechen,0.0031,speak
16,frau,0.003,Mrs
16,sollen,0.003,should
16,treffen,0.003,to meet
16,prozent,0.003,percent
16,tag,0.0029,Day
16,halten,0.0028,hold
16,führen,0.0028,to lead
16,fdp,0.0028,fdp
16,zeitung,0.0028,newspaper
16,stellen,0.0027,put
16,laut,0.0027,according to
16,wahlkampf,0.0026,electioneering
16,politik,0.0026,politics
16,heißen,0.0026,be called
16,allerdings,0.0026,Indeed
16,spiegel,0.0026,mirror
16,wichtig,0.0026,important
16,sprecher,0.0026,speaker
16,weit,0.0025,far
17,prozent,0.0154,percent
17,jahr,0.0117,year
17,müssen,0.0093,have to
17,geben,0.009,give
17,berlin,0.009,Berlin
17,neu,0.0088,New
17,deutsch,0.0074,German
17,sehen,0.0062,see
17,zwei,0.0058,two
17,union,0.0057,union
17,kommen,0.0056,come
17,merkel,0.0055,merkel
17,politisch,0.0051,politically
17,sollen,0.0051,should
17,schon,0.0048,beautiful
17,csu,0.0047,Christian Social Union
17,erklären,0.0044,to explain
17,grüne,0.0042,green
17,woche,0.0042,week
17,klar,0.004,clear
17,immer,0.004,always
17,halten,0.004,hold
17,koalition,0.0039,coalition
17,wahl,0.0039,choice
17,deutschland,0.0037,Germany
17,möglich,0.0036,possible
17,zeitung,0.0035,newspaper
17,bundestag,0.0033,Bundestag
17,fdp,0.0033,fdp
17,bundesregierung,0.0033,federal government
17,partei,0.0032,party
17,dafür,0.0032,for this
17,schröder,0.0032,Schroeder
17,angela,0.0032,angela
17,finden,0.0032,Find
17,zeit,0.0031,Time
17,tag,0.0031,Day
17,mensch,0.0031,human
17,etwa,0.003,about
17,frage,0.0029,question
17,seit,0.0029,since
17,thema,0.0028,theme
17,seehofer,0.0028,seehofer
17,liegen,0.0028,lie
17,zeigen,0.0027,demonstrate
17,land,0.0026,country
17,laut,0.0026,according to
17,stellen,0.0026,put
17,lang,0.0026,long
17,stark,0.0026,strongly
18,dass,0.0156,that
18,partei,0.012,party
18,spd,0.0116,spd
18,gehen,0.0093,go
18,berlin,0.0091,Berlin
18,euro,0.0091,Euro
18,müssen,0.0089,have to
18,mehr,0.0087,more
18,gut,0.007,Good
18,kommen,0.0068,come
18,bereits,0.0062,already
18,schröder,0.006,Schroeder
18,deutschland,0.0057,Germany
18,groß,0.005,big
18,erst,0.005,first
18,zwei,0.0046,two
18,bundestag,0.0046,Bundestag
18,fall,0.0042,case
18,npd,0.004,npd
18,cdu,0.004,cdu
18,eigen,0.0039,own
18,stehen,0.0039,stand
18,jahr,0.0036,year
18,immer,0.0035,always
18,neu,0.0034,New
18,nehmen,0.0034,to take
18,woche,0.0033,week
18,zeit,0.0031,Time
18,zudem,0.0031,moreover
18,milliarde,0.003,billion
18,fordern,0.003,demand
18,heißen,0.003,be called
18,deutsch,0.003,German
18,million,0.0029,million
18,steinbrück,0.0029,steinbrück
18,grün,0.0029,green
18,bundestagswahl,0.0028,bundestagswahl
18,fdp,0.0027,fdp
18,online,0.0027,on-line
18,recht,0.0027,Law
18,kritik,0.0026,criticism
18,ende,0.0025,The End
18,fischer,0.0025,fisherman
18,wegen,0.0025,because of
18,dürfen,0.0025,allowed
18,kanzler,0.0024,chancellor
18,nah,0.0024,close
18,rotgrün,0.0023,Red Green
18,entscheidung,0.0023,decision
18,stoiber,0.0023,stoiber
19,sagen,0.0294,say
19,dass,0.0182,that
19,geben,0.0135,give
19,prozent,0.0128,percent
19,merkel,0.0096,merkel
19,jahr,0.0095,year
19,union,0.0086,union
19,kommen,0.0077,come
19,müssen,0.0069,have to
19,gehen,0.0064,go
19,sollen,0.006,should
19,immer,0.0057,always
19,berlin,0.0055,Berlin
19,frage,0.0051,question
19,ganz,0.0043,all
19,fdp,0.0042,fdp
19,stehen,0.004,stand
19,heißen,0.0039,be called
19,erklären,0.0039,to explain
19,rund,0.0038,round
19,frau,0.0038,Mrs
19,deutschland,0.0036,Germany
19,bleiben,0.0035,stay
19,politisch,0.0035,politically
19,wegen,0.0034,because of
19,allerdings,0.0034,Indeed
19,vergangen,0.0033,past
19,groß,0.0033,big
19,liegen,0.0033,lie
19,schröder,0.0033,Schroeder
19,kanzlerin,0.0032,Chancellor
19,jung,0.0031,young
19,cdu,0.0031,cdu
19,wissen,0.003,knowledge
19,nehmen,0.003,to take
19,angela,0.003,angela
19,zeitung,0.0029,newspaper
19,stark,0.0029,strongly
19,spd,0.0028,spd
19,bereits,0.0028,already
19,dürfen,0.0028,allowed
19,drei,0.0027,three
19,ministerpräsident,0.0027,prime minister
19,jedoch,0.0027,however
19,finden,0.0026,Find
19,tag,0.0026,Day
19,tun,0.0025,do
19,recht,0.0024,Law
19,amt,0.0024,office
19,sonntag,0.0024,Sunday
20,sagen,0.028,say
20,dass,0.015,that
20,spd,0.0107,spd
20,erst,0.0084,first
20,groß,0.0082,big
20,mehr,0.007,more
20,kommen,0.0069,come
20,prozent,0.0068,percent
20,berlin,0.006,Berlin
20,union,0.0057,union
20,partei,0.0052,party
20,dürfen,0.0051,allowed
20,lassen,0.0051,to let
20,bereits,0.0049,already
20,stehen,0.0049,stand
20,jahr,0.0043,year
20,ab,0.0043,from
20,ganz,0.0043,all
20,schröder,0.0042,Schroeder
20,frage,0.0042,question
20,seit,0.0039,since
20,regierung,0.0039,government
20,spiegel,0.0039,mirror
20,weit,0.0039,far
20,zwei,0.0035,two
20,gehen,0.0035,go
20,ministerpräsident,0.0033,prime minister
20,politisch,0.0033,politically
20,bush,0.0033,bush
20,nehmen,0.0033,to take
20,land,0.0032,country
20,stoiber,0.0032,stoiber
20,müssen,0.0031,have to
20,immer,0.0031,always
20,wegen,0.0031,because of
20,thema,0.0031,theme
20,eigen,0.0031,own
20,koalition,0.003,coalition
20,sehen,0.003,see
20,deutschland,0.0028,Germany
20,möglich,0.0028,possible
20,woche,0.0028,week
20,wer,0.0027,who
20,stellen,0.0026,put
20,fordern,0.0026,demand
